market_name,zip_code
Birmingham-Ann-Tuscaloosa,35128
Birmingham-Ann-Tuscaloosa,35130
Birmingham-Ann-Tuscaloosa,35131
Birmingham-Ann-Tuscaloosa,35133
Birmingham-Ann-Tuscaloosa,35135
Baltimore,21030
Baltimore,21031
Baltimore,21032
Baltimore,21034
Baltimore,21035
Baltimore,21036
Baltimore,21037
Baltimore,21040
Baltimore,21041
Baltimore,21042
Baltimore,21043
Baltimore,21044
Baltimore,21045
Utica,12064
Boston-Manchester,01516
Boston-Manchester,01517
Boston-Manchester,01518
Boston-Manchester,01519
Boston-Manchester,01520
Watertown,12915
West Palm Beach-Ft. Pierce,32957
West Palm Beach-Ft. Pierce,32958
Tyler-Longview-Lufkin-Nacogdoches,75410
Wheeling-Steubenville,26030
Wheeling-Steubenville,26031
Wheeling-Steubenville,26032
Wichita Falls-Lawton,73532
Wichita Falls-Lawton,73533
Waco-Temple-Bryan,75831
Wausau-Rhinelander,53927
Wausau-Rhinelander,53934
Wausau-Rhinelander,53936
Puerto Rico,00616
Puerto Rico,00617
Puerto Rico,00622
Puerto Rico,00623
Baton Rouge,70787
Baton Rouge,70788
Binghamton,13783
Binghamton,13786
Wilkes Barre-Scranton,17705
Wilkes Barre-Scranton,17720
Wilkes Barre-Scranton,17721
Boise,83715
Boise,83716
Boise,83717
Youngstown,16151
Youngstown,16153
Youngstown,16154
Youngstown,16155
Wilmington,28430
Wilmington,28431
Wilmington,28432
Wilmington,28433
Austin,78644
Austin,78645
