city_name,year,description,file_urls,files
Lassen County,2013,Download Lassen County payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/lassen-county-2013.csv,"[{'checksum': 'b9a9a5b454b8bb6930d306d404cbd37e', 'url': 'https://transcal.s3.amazonaws.com/public/export/lassen-county-2013.csv', 'path': 'full/631ed317b0d005b47bbf093fd45cc32cf5c7c3cc.csv'}]"
Marin County,2016,Download Marin County payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/marin-county-2016.csv,"[{'checksum': 'e18b366ea40f53b7a6472a61df41d582', 'url': 'https://transcal.s3.amazonaws.com/public/export/marin-county-2016.csv', 'path': 'full/efed0caa7724ab79e54953f9aea711c6e95104be.csv'}]"
Marin County,2015,Download Marin County payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/marin-county-2015.csv,"[{'checksum': '821d60fd7cc8c991c292b0ed2e50a348', 'url': 'https://transcal.s3.amazonaws.com/public/export/marin-county-2015.csv', 'path': 'full/9a45f902f4a37a58474d90d46b0de65b77817581.csv'}]"
Marin County,2014,Download Marin County payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/marin-county-2014.csv,"[{'checksum': 'befd9811ddd25fbf72b4d5bbedfff4b2', 'url': 'https://transcal.s3.amazonaws.com/public/export/marin-county-2014.csv', 'path': 'full/4355248caf78e03f8b62fa94882381020c08b365.csv'}]"
Marin County,2012,Download Marin County payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/marin-county-2012.csv,"[{'checksum': '65504bc8197d29bbcd3c7abec73b2abe', 'url': 'https://transcal.s3.amazonaws.com/public/export/marin-county-2012.csv', 'path': 'full/34dc09d8a4fb64d263e949f0a61ac7a9589175b9.csv'}]"
Marin County,2013,Download Marin County payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/marin-county-2013.csv,"[{'checksum': '923cd194a1a6a1a036f05f74a85c1f3e', 'url': 'https://transcal.s3.amazonaws.com/public/export/marin-county-2013.csv', 'path': 'full/93703441ef006b8354e51470cbaeb365c1cbc10e.csv'}]"
Lake County,2016,Download Lake County payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/lake-county-2016.csv,"[{'checksum': 'e43111d77a54f1139efee7642dc5a03b', 'url': 'https://transcal.s3.amazonaws.com/public/export/lake-county-2016.csv', 'path': 'full/6b94623925724e85f2214fb99587e3474ce1cf6a.csv'}]"
Marin County,2011,Download Marin County payroll data for 2011,https://transcal.s3.amazonaws.com/public/export/marin-county-2011.csv,"[{'checksum': 'd8c02407799e8a9fb84088d470c2af50', 'url': 'https://transcal.s3.amazonaws.com/public/export/marin-county-2011.csv', 'path': 'full/584a73da55b7f62f15e6ecc901e0df3335da2f45.csv'}]"
Lake County,2011,Download Lake County payroll data for 2011,https://transcal.s3.amazonaws.com/public/export/lake-county-2011.csv,"[{'checksum': '53b33d365eab2bec6a74e36585c49725', 'url': 'https://transcal.s3.amazonaws.com/public/export/lake-county-2011.csv', 'path': 'full/b76de726644fabfc9cbcce08b9c9cb0a99fa4974.csv'}]"
Lake County,2012,Download Lake County payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/lake-county-2012.csv,"[{'checksum': '8aaec5375ba32e8a43b8c5de4f37e265', 'url': 'https://transcal.s3.amazonaws.com/public/export/lake-county-2012.csv', 'path': 'full/8bba902297ffede79735506b64483ea8ddcbb3f0.csv'}]"
